Movie Names,Directors,Cast,Language,Verdict,Year of Release,Action,Thriller,SciFi,Biography,Drama,History,Romance,Comedy,Crime,Adventure,Horror,Sport,Fantacy,War,Ratings,Votes,Worldwide Gross in Crores,Hit or Flop
Kaala,Pa. Ranjith,"['Rajinikanth', 'Nana Patekar', 'Samuthirakani', 'Easwari Rao']",Tamil,Flop,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.6,9708,153.9,0
Gold,Reema Kagti,"['Akshay Kumar', 'Mouni Roy', 'Kunal Kapoor', 'Amit Sadh']",Hindi,Average,2018,0,0,0,0,1,1,0,0,0,0,0,1,0,0,7.3,14317,150,0
Aravindha Sametha Veera Raghava,Trivikram Srinivas,"['N.T. Rama Rao Jr.', 'Pooja Hegde', 'Jagapathi Babu', 'Naveen Chandra']",Telugu,Above Average,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.3,8963,149,0
Raid,Raj Kumar Gupta,"['Ajay Devgn', ""Ileana D'Cruz"", 'Saurabh Shukla', 'Amit Sial']",Hindi,Hit,2018,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.4,18125,149,1
Sonu Ke Titu Ki Sweety,Luv Ranjan,"['Kartik Aaryan', 'Nushrratt Bharuccha', 'Sunny Singh', 'Alok Nath']",Hindi,Blockbuster,2018,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7.1,23315,148.5,1
Veere Di Wedding,Shashanka Ghosh,"['Kareena Kapoor', 'Sonam Kapoor', 'Swara Bhaskar', 'Shikha Talsania']",Hindi,Super Hit,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.3,13050,139.3,1
Geetha Govindam,Parasuram,"['Vijay Deverakonda', 'Rashmika Mandanna', 'Subbaraju', 'Mouryaani']",Telugu,Blockbuster,2018,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7.7,14690,126,1
Sui Dhaaga: Made in India,Sharat Katariya,"['Anushka Sharma', 'Varun Dhawan', 'Raghuvir Yadav', 'Namit Das']",Hindi,Hit,2018,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.8,8752,124.4,1
Dhadak,Shashank Khaitan,"['Janhvi Kapoor', 'Ishaan Khattar', 'Ashutosh Rana', 'Aditya Kumar']",Hindi,Hit,2018,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4.5,10204,116.5,1
102 Not Out,Umesh Shukla,"['Amitabh Bachchan', 'Rishi Kapoor', 'Vijay Raaz', 'Ashok Pathak']",Hindi,Blockbuster,2018,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.4,7323,111.3,1
Satyameva Jayate,Milap Zaveri,"['John Abraham', 'Manoj Bajpayee', 'Aisha Sharma', 'Amruta Khanvilkar']",Hindi,Super Hit,2018,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5.7,7596,109,1
Agnyaathavaasi,Trivikram Srinivas,"['Pawan Kalyan', 'Keerthy Suresh', 'Anu Emmanuel', 'Aadhi']",Telugu,Disaster,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.3,3341,96.1,0
Thaanaa Serndha Koottam,Vignesh Shivan,"['Suriya', 'Keerthy Suresh', 'Karthik', 'Ramya Krishnan']",Tamil,Below Average,2018,1,0,0,0,0,0,0,1,1,0,0,0,0,0,6.4,6202,95,0
Kedarnath,Abhishek Kapoor,"['Sushant Singh Rajput', 'Sara Ali Khan', 'Nitish Bharadwaj', 'Alka Amin']",Hindi,Hit,2018,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.7,14523,95,1
Naa Peru Surya Na Illu India,Vakkantham Vamsi,"['Allu Arjun', 'Arjun Sarja', 'R. Sarathkumar', 'Anu Emmanuel']",Telugu,Flop,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.7,7645,94.2,0
Chekka Chivantha Vaanam,Mani Ratnam,"['Arvind Swami', 'Arun Vijay', 'Silambarasan Rajendar', 'Vijay Sethupathi']",Tamil,Super Hit,2018,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.2,6565,92.5,1
Parmanu: The Story of Pokhran,Abhishek Sharma,"['John Abraham', 'Boman Irani', 'Diana Penty', 'Anuja Sathe']",Hindi,Blockbuster,2018,1,0,0,0,1,1,0,0,0,0,0,0,0,0,7.6,24648,91.9,1
Mahanati,Nag Ashwin,"['Keerthy Suresh', 'Dulquer Salmaan', 'Samantha Ruth Prabhu', 'Vijay Deverakonda']",Telugu,Blockbuster,2018,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.4,13353,85.1,1
Kadaikutty Singam,Pandiraj,"['Karthi', 'Sathyaraj', 'Sayyeshaa Saigal', 'Priya Bhavani Shankar']",Tamil,Blockbuster,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.8,2738,70,1
Kayamkulam Kochunni,Rosshan Andrrews,"['Nivin Pauly', 'Mohanlal', 'Sunny Wayne', 'Priya Anand']",Malayalam,Super Hit,2018,1,0,0,0,1,1,0,0,0,0,0,0,0,0,6.8,2584,67,1
Bhaagamathie,Ashok G.,"['Anushka Shetty', 'Asha Sharath', 'Murli Sharma', 'Unni Mukundan']",Telugu,Super Hit,2018,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7,3206,66.8,1
Irumbu Thirai,P.S. Mithran,"['Vishal', 'Samantha Ruth Prabhu', 'Arjun Sarja', 'Delhi Ganesh']",Tamil,Blockbuster,2018,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7.6,5152,62.5,1
Vada Chennai,Vetrimaaran,"['Dhanush', 'Ameer Sultan', 'Radha Ravi', 'Daniel Balaji']",Tamil,Above Average,2018,1,0,0,0,1,0,0,0,1,0,0,0,0,0,8.4,17986,62.5,0
Batti Gul Meter Chalu,Shree Narayan Singh,"['Shahid Kapoor', 'Shraddha Kapoor', 'Divyendu Sharma', 'Yami Gautam']",Hindi,Flop,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.9,5772,60,0
Seema Raja,Ponram,"['Sivakarthikeyan', 'Samantha Ruth Prabhu', 'Soori', 'Simran']",Tamil,Flop,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.2,1891,57,0
Carry on Jatta 2,Smeep Kang,"['Gippy Grewal', 'Sonam Bajwa', 'Binnu Dhillon', 'Gurpreet Ghuggi']",Punjabi,All Time Blockbuster,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.8,1301,56.3,1
96,C. Prem Kumar,"['Vijay Sethupathi', 'Adithya Bhaskar', 'Trisha Krishnan', 'Gouri Kishan']",Tamil,Blockbuster,2018,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8.5,32741,55.5,1
October,Shoojit Sircar,"['Varun Dhawan', 'Banita Sandhu', 'Gitanjali Rao', 'Sahil Vedoliyaa']",Hindi,Below Average,2018,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.5,16405,54.5,0
Odiyan,V.A. Shrikumar Menon,"['Mohanlal', 'Prakash Raj', 'Manju Warrier', 'Manoj Joshi']",Malayalam,Below Average,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.3,3887,53.6,0
The Villain,Prem,"['Shivarajkumar', 'Sudeep', 'Amy Jackson', 'Meka Srikanth']",Kannada,Above Average,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1999,52.5,0
Saamy˛,Hari,"['Vikram', 'Keerthy Suresh', 'Aishwarya Rajesh', 'Bobby Simha']",Tamil,Flop,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1557,52.5,0
Vishwaroopam 2,Kamal Haasan,"['Kamal Haasan', 'Rahul Bose', 'Shekhar Kapur', 'Pooja Kumar']",Tamil,Disaster,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.8,2719,52.1,0
Sandakozhi 2,N. Linguswamy,"['Vishal', 'Keerthy Suresh', 'Rajkiran', 'Varalaxmi Sarathkumar']",Tamil,Average,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,878,51.5,0
Thamizh Padam 2,C.S. Amudhan,"['Jiiva', 'Iswarya Menon', 'Shiva', 'Santhana Bharathi']",Tamil,Blockbuster,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.4,1608,51.3,1
Njan Prakashan,Sathyan Anthikad,"['Fahadh Faasil', 'Sreenivasan', 'Nikhila Vimal', 'Devika Sanjay']",Malayalam,Blockbuster,2018,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.7,4708,50.7,1
Jai Simha,K.S. Ravikumar,"['Nandamuri Balakrishna', 'Nayanthara', 'Haripriya', 'Natasha Doshi']",Telugu,Hit,2018,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4.7,885,50,1
Saamy²,Hari,"['Vikram', 'Keerthy Suresh', 'Aishwarya Rajesh', 'Bobby Simha']",Tamil,Flop,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1557,52.5,0
Maari 2,Balaji Mohan,"['Dhanush', 'Kreshna', 'Sai Pallavi', 'Varalaxmi Sarathkumar']",Tamil,Below Average,2018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.6,3144,49.5,0
Devadas,Sriram Adittya,"['Nagarjuna Akkineni', 'Nani', 'Aakanksha Singh', 'Rashmika Mandanna']",Telugu,Below Average,2018,1,0,0,0,1,0,0,1,0,0,0,0,0,0,6.5,2004,47.5,0
Kolamavu Kokila,Nelson Dilipkumar,"['Nayanthara', 'Saranya Ponvannan', 'Saravanan', 'Yogi Babu']",Tamil,Blockbuster,2018,0,0,0,0,1,0,0,1,1,0,0,0,0,0,7.3,3373,47.1,1
Tholi Prema,Venky Atluri,"['Varun Tej', 'Raashi Khanna', 'Priyadarshi Pulikonda', 'Apoorva Srinivasan']",Telugu,Hit,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.2,3273,44.5,1
Abrahaminte Santhathikal,Shaji Padoor,"['Mammootty', 'Anson Paul', 'Renji Panicker', 'Yog Japee']",Malayalam,Blockbuster,2018,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6.7,5558,42.5,1
Imaikkaa Nodigal,R. Ajay Gnanamuthu,"['Nayanthara', 'Atharvaa Murali', 'Anurag Kashyap', 'Raashi Khanna']",Tamil,Blockbuster,2018,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.3,5825,41.5,1
Tik Tik Tik,Shakti Soundar Rajan,"['Jayam Ravi', 'Nivetha Pethuraj', 'Aaron Aziz', 'Ramesh Thilak']",Tamil,Hit,2018,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5.8,2922,41,1
Tagaru,Soori,"['Abhi', 'Shivarajkumar', 'Manvita Kamath', 'Dhananjaya', 'Bhavana']",Kannada,Blockbuster,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.9,1736,39.5,1
Hello Guru Prema Kosame,Trinadha Rao Nakkina,"['Ram Pothineni', 'Anupama Parameswaran', 'Pranitha', 'Prakash Raj']",Telugu,Above Average,2018,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,2848,38.7,0
Sketch,Vijay Chandar,"['Vikram', 'Tamannaah Bhatia', 'Baburaj', 'Sriman']",Tamil,Disaster,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.6,2154,36,0
Taxiwaala,Rahul Sankrityan,"['Vijay Deverakonda', 'Priyanka Jawalkar', 'Malvika Nair', 'Madhunandan']",Telugu,Blockbuster,2018,0,1,0,0,0,0,0,1,0,0,1,0,0,0,6.9,3769,35.4,1
Ratsasan,Ram Kumar,"['Vishnu Vishal', 'Amala Paul', 'Radha Ravi', 'Sangili Murugan']",Tamil,Blockbuster,2018,1,0,0,0,1,0,0,0,1,0,0,0,0,0,8.3,46380,34.5,1
Sailaja Reddy Alludu,Maruthi Dasari,"['Naga Chaitanya Akkineni', 'Anu Emmanuel', 'Ramya Krishnan', 'V.K. Naresh']",Telugu,Average,2018,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5.1,925,33.8,0
Varathan,Amal Neerad,"['Fahadh Faasil', 'Aishwarya Lekshmi', 'Sharafudheen', 'Dileesh Pothan']",Malayalam,Blockbuster,2018,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7.5,4260,33,1
Aadhi,Jeethu Joseph,"['Pranav Mohanlal', 'Sharafudheen', 'Meghanadhan', 'Siddique']",Malayalam,Blockbuster ,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,2145,31.5,1
Krishnarjuna Yudham,Merlapaka Gandhi,"['Nani', 'Anupama Parameswaran', 'Rukshar Dhillon', 'Brahmaji']",Telugu,Flop,2018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.7,1444,27.7,0
Theevandi,Fellini T.P.,"['Samyuktha Menon', 'Tovino Thomas', 'Suraj Venjaramoodu', 'Saiju Kurup']",Malayalam,Super Hit,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.6,1551,27.1,1
Rx 100,Ajay Bhupathi,"['Kartikeya Gummakonda', 'Payal Rajput', 'Ramki', 'Rao Ramesh']",Telugu,Blockbuster,2018,1,0,0,0,1,0,1,0,0,0,0,0,0,0,6.9,3130,26.1,1
Kalakalapu 2,Sundar C.,"['Jiiva', 'Jai', 'Catherine Tresa', 'Nikki Galrani']",Tamil,Hit,2018,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.1,760,25.9,1
Sudani from Nigeria,Zakariya Mohammed,"['Soubin Shahir', 'Samuel Abiola Robinson', 'Savithri Sreedharan', 'Sarasa Balussery']",Malayalam,Blockbuster,2018,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8.2,4532,24.8,1
Srinivasa Kalyanam,Satish Vegesna,"['Nithiin', 'Raashi Khanna', 'Nandita Shwetha', 'Prakash Raj']",Telugu,Disaster,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.1,1320,23,0
Nota,Anand Shankar,"['Vijay Deverakonda', 'Nassar', 'Sathyaraj', 'M.S. Bhaskar']",Telugu,Disaster,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.2,2965,22.8,0
Goodachari,Sashi Kiran Tikka,"['Adivi Sesh', 'Sobhita Dhulipala', 'Jagapathi Babu', 'Prakash Raj']",Telugu,Blockbuster,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.8,10989,22.6,1
Koode,Anjali Menon,"['Prithviraj Sukumaran', 'Parvathy Thiruvothu', 'Darshana Rajendran', 'Nazriya Nazim']",Malayalam,Hit,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.6,2648,22.5,1
Chalo,Venky Kudumula,"['Naga Shaurya', 'Rashmika Mandanna', 'Achyuth Kumar', 'Mime Gopi']",Telugu,Blockbuster,2018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6.2,1297,22.2,1
U-Turn,Pawan Kumar,"['Samantha Ruth Prabhu', 'Aadhi', 'Bhoomika Chawla', 'Rahul Ravindran']",Telugu,Hit,2018,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6.9,3862,20.7,1
Saakshyam,Sriwass,"['Sai Srinivas Bellamkonda', 'Pooja Hegde', 'R. Sarathkumar', 'Meena']",Telugu,Disaster,2018,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4.7,646,20.6,0
Touch Chesi Chudu,Vikram Sirikonda,"['Ravi Teja', 'Raashi Khanna', 'Seerat Kapoor', 'Murli Sharma']",Telugu,Disaster,2018,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4.7,1082,20.5,0
Nela Ticket,Kalyan Krishna,"['Ravi Teja', 'Malvika Sharma', 'Ajay', 'Mohammad Ali']",Telugu,Disaster,2018,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4.3,797,20.5,0
War,Siddharth Anand,"['Hrithik Roshan', 'Tiger Shroff', 'Vaani Kapoor', 'Ashutosh Rana']",Hindi,Blockbuster,2019,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6.5,28764,460.6,1
Saaho,Sujeeth,"['Prabhas', 'Shraddha Kapoor', 'Jackie Shroff', 'Neil Nitin Mukesh']",Telugu,Below Average,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,20727,417.6,0
Kabir Singh,Sandeep Reddy Vanga,"['Shahid Kapoor', 'Kiara Advani', 'Nikita Dutta', 'Soham Majumdar']",Hindi,Blockbuster,2019,1,0,0,0,1,0,1,0,0,0,0,0,0,0,7,35288,375,1
Uri: The Surgical Strike,Aditya Dhar,"['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam']",Hindi,Blockbuster,2019,1,0,0,0,1,1,0,0,0,0,0,0,0,0,8.2,66264,339.3,1
Bharat,Ali Abbas Zafar,"['Salman Khan', 'Katrina Kaif', 'Sunil Grover', 'Tabu']",Hindi,Below Average,2019,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4.7,31552,307,0
Good Newwz,Raj Mehta,"['Kulwinder Singh', 'Ranjeet Singh', 'Akshay Kumar', 'Kareena Kapoor', 'Diljit Dosanjh', 'Kiara Advani']",Hindi,Blockbuster,2019,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.8,21026,304.2,1
Bigil,Atlee,"['Joseph Vijay', 'Nayanthara', 'Jackie Shroff', 'Vivek']",Tamil,Hit,2019,1,0,0,0,1,0,0,0,0,0,0,1,0,0,6.7,22388,300.8,1
Housefull 4,Farhad Samji,"['Akshay Kumar', 'Riteish Deshmukh', 'Bobby Deol', 'Kriti Sanon']",Hindi,Above Average,2019,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3.5,13404,296.8,0
Mission Mangal,Jagan Shakti,"['Akshay Kumar', 'Vidya Balan', 'Taapsee Pannu', 'Sonakshi Sinha']",Hindi,Blockbuster,2019,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.5,16662,282.8,1
Sye Raa Narasimha Reddy,Surender Reddy,"['Chiranjeevi', 'Amitabh Bachchan', 'Sudeep', 'Vijay Sethupathi']",Telugu,Below Average,2019,1,0,0,0,1,0,0,0,0,1,0,0,0,0,7.3,8193,243.6,0
Gully Boy,Zoya Akhtar,"['Ranveer Singh', 'Alia Bhatt', 'Siddhant Chaturvedi', 'Vijay Raaz']",Hindi,Hit,2019,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.9,41033,229.5,1
Total Dhamaal,Indra Kumar,"['Ajay Devgn', 'Anil Kapoor', 'Madhuri Dixit', 'Riteish Deshmukh']",Hindi,Hit,2019,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4.2,7344,222,1
Dabangg 3,Prabhu Deva,"['Salman Khan', 'Sudeep', 'Sonakshi Sinha', 'Saiee Manjrekar']",Hindi,Average,2019,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,19467,219.3,0
Petta,Karthik Subbaraj,"['Rajinikanth', 'Vijay Sethupathi', 'Nawazuddin Siddiqui', 'M. Sasikumar']",Tamil,Above Average,2019,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.2,10788,216.1,0
Super 30,Vikas Bahl,"['Hrithik Roshan', 'Mrunal Thakur', 'Nandish Singh Sandhu', 'Veerendra Saxena']",Hindi,Hit,2019,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.9,33591,209.1,1
Chhichhore,Nitesh Tiwari,"['Sushant Singh Rajput', 'Shraddha Kapoor', 'Varun Sharma', 'Prateik Babbar']",Hindi,Blockbuster,2019,0,0,0,0,1,0,1,1,0,0,0,0,0,0,8.3,57054,203.7,1
Kesari,Anurag Singh,"['Akshay Kumar', 'Parineeti Chopra', 'Suvinder Vicky', 'Vansh Bhardwaj']",Hindi,Hit,2019,1,0,0,0,1,1,0,0,0,0,0,0,0,0,7.4,21267,202,1
Dream Girl,Raaj Shaandilyaa,"['Ayushmann Khurrana', 'Nushrratt Bharuccha', 'Annu Kapoor', 'Manjot Singh']",Hindi,Blockbuster,2019,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,15054,196.5,1
Viswasam,Siva,"['Ajith Kumar', 'Nayanthara', 'Jagapathi Babu', 'Anikha Surendran']",Tamil,Super Hit,2019,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.6,10130,182.5,1
Maharshi,Vamshi Paidipally,"['Mahesh Babu', 'Allari Naresh', 'Pooja Hegde', 'Jagapathi Babu']",Telugu,Hit,2019,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.2,8949,176.6,1
Bala,Amar Kaushik,"['Ayushmann Khurrana', 'Bhumi Pednekar', 'Yami Gautam', 'Saurabh Shukla']",Hindi,Super Hit,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.3,15226,165,1
Kalank,Abhishek Varman,"['Alia Bhatt', 'Kiara Advani', 'Kunal Kemmu', 'Kriti Sanon']",Hindi,Flop,2019,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3.5,16228,138.1,0
F2: Fun and Frustration,Anil Ravipudi,"['Tamannaah Bhatia', 'Venkatesh Daggubati', 'Prakash Raj', 'Mehreen Pirzada']",Telugu,Blockbuster,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.1,2933,135,1
Badla,Sujoy Ghosh,"['Amitabh Bachchan', 'Taapsee Pannu', 'Amrita Singh', 'Antonio Aakeel']",Hindi,Blockbuster,2019,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7.8,29154,132.4,1
Manikarnika: The Queen of Jhansi,Radha Krishna Jagarlamudi,"['Kangana Ranaut', 'Kangana Ranaut', 'Danny Denzongpa', 'Suresh Oberoi', 'Atul Kulkarni']",Hindi,Below Average,2019,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6.4,15796,131.5,0
De De Pyaar De,Akiv Ali,"['Ajay Devgn', 'Tabu', 'Rakul Preet Singh', 'Jimmy Shergill']",Hindi,Hit,2019,0,0,0,0,1,0,1,1,0,0,0,0,0,0,6.5,8685,130.9,1
Kanchana 3,Raghava Lawrence,"['Raghava Lawrence', 'Oviya', 'Vedhika', 'Nikki Tamboli']",Tamil,Blockbuster,2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4.2,1558,130,1
Lucifer,Prithviraj Sukumaran,"['Mohanlal', 'Vivek Oberoi', 'Manju Warrier', 'Tovino Thomas']",Malayalam,Blockbuster,2019,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.5,11680,127.4,1
Luka Chuppi,Laxman Utekar,"['Kartik Aaryan', 'Kriti Sanon', 'Aparshakti Khurana', 'Pankaj Tripathi']",Hindi,Blockbuster,2019,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6.3,12312,114.1,1
Batla House,Nikkhil Advani,"['John Abraham', 'Mrunal Thakur', 'Nora Fatehi', 'Ravi Kishan']",Hindi,Hit,2019,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.2,12157,112.5,1
Pati Patni Aur Woh,Mudassar Aziz,"['Kartik Aaryan', 'Bhumi Pednekar', 'Ananya Panday', 'Aparshakti Khurana']",Hindi,Hit,2019,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5.8,7765,109,1
Nerkonda Paarvai,H. Vinoth,"['Ajith Kumar', 'Shraddha Srinath', 'Abhirami Venkatachalam', 'Andrea Tariang']",Tamil,Hit,2019,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.7,10376,108.5,1
Kaithi,Lokesh Kanagaraj,"['Karthi', 'Narain', 'Arjun Das', 'George Maryan']",Tamil,Blockbuster,2019,1,0,0,0,0,0,0,0,1,1,0,0,0,0,8.5,35195,102.9,1
Vinaya Vidheya Rama,Boyapati Srinu,"['Ram Charan', 'Vivek Oberoi', 'Kiara Advani', 'Mahesh Manjrekar']",Telugu,Flop,2019,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.3,3631,97.3,0
Student of the Year 2,Punit Malhotra,"['Tiger Shroff', 'Ananya Panday', 'Tara Sutaria', 'Aditya Seal']",Hindi,Flop,2019,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2.1,21254,91.3,0
Kurukshetra,Naganna,"['Darshan Thoogudeep', 'Ambarish', 'V. Ravichandran', 'Arjun Sarja']",Kannada,Blockbuster,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.1,1628,90,1
Article 15,Anubhav Sinha,"['Ayushmann Khurrana', 'Nassar', 'Manoj Pahwa', 'Kumud Mishra']",Hindi,Super Hit,2019,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8.1,34883,88,1
Namma Veettu Pillai,Pandiraj,"['Sivakarthikeyan', 'Bharathiraja', 'Soori', 'Aishwarya Rajesh']",Tamil,Blockbuster,2019,1,0,0,0,1,0,0,1,0,0,0,0,0,0,6,1593,76,1
Kaappaan,K.V. Anand,"['Sayyeshaa Saigal', 'Suriya', 'Arya', 'Mohanlal']",Tamil,Below Average,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.2,6039,70.4,0
iSmart Shankar,Puri Jagannadh,"['A.R. Sreedhar', 'Ram Pothineni', 'Satyadev Kancharana', 'Nabha Natesh', 'Nidhhi Agerwal']",Telugu,Blockbuster,2019,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5.4,2396,66.7,1
Majili,Shiva Nirvana,"['Samantha Ruth Prabhu', 'Divyansha Kaushik', 'Naga Chaitanya Akkineni', 'Atul Kulkarni']",Telugu,Blockbuster,2019,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.2,4774,66,1
Mardaani 2,Gopi Puthran,"['Rani Mukerji', 'Shruti Bapna', 'K.C. Shankar', 'Sunny Hinduja']",Hindi,Hit,2019,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.3,9795,63.5,1
NGK,K. Selvaraghavan,"['Suriya', 'Sai Pallavi', 'Rakul Preet Singh', 'Ponvannan']",Tamil,Flop,2019,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.8,5235,62.3,0
Venky Mama,K.S. Ravindra,"['Raashi Khanna', 'Venkatesh Daggubati', 'Prakash Raj', 'Adithya Menon']",Telugu,Hit,2019,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5.4,1375,61.8,1
Asuran,Vetrimaaran,"['Dhanush', 'Manju Warrier', 'Prakash Raj', 'Pasupathy']",Tamil,Blockbuster,2019,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.4,30842,61.5,1
Marjaavaan,Milap Zaveri,"['Riteish Deshmukh', 'Sidharth Malhotra', 'Tara Sutaria', 'Rakul Preet Singh']",Hindi,Below Average,2019,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3.6,4276,61,0
Prati Roju Pandaage,Maruthi Dasari,"['Sai Dharam Tej', 'Raashi Khanna', 'Sathyaraj', 'Rao Ramesh']",Telugu,Blockbuster,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.3,1133,60.2,1
Avane Srimannarayana,Sachin Ravi,"['Sachin', 'Rakshit Shetty', 'Shanvi Srivastava', 'Achyuth Kumar', 'Balaji Manohar']",Kannada,Hit,2019,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7.7,7776,56.5,1
Comali,Pradeep Ranganathan,"['Jayam Ravi', 'Kajal Aggarwal', 'Yogi Babu', 'K.S. Ravikumar']",Tamil,Blockbuster,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.9,3699,54,1
Shadaa,Jagdeep Sidhu,"['Diljit Dosanjh', 'Neeru Bajwa', 'Sonam Bajwa', 'Anita Devgan']",Punjabi,Blockbuster,2019,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6.2,1062,53,1
Yajamana,V. Harikrishna,"['Ponkumaran', 'Darshan Thoogudeep', 'Rashmika Mandanna', 'Dhananjaya', 'Devaraj']",Kannada,Blockbuster,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,1778,52,1
